Time,F_Scale,Location,County,State,Lat,Lon,Comments
1915,UNK,LITTLE ROCK,PULASKI,AR,34.74,-92.31,DAMAGE TO HOMES IN LEAWOOD NEIGHBORHOOD IN MIDTOWN. (LZK)
1918,UNK,BRECKENRIDGE,PULASKI,AR,34.77,-92.4,THIS WAS A HIGH END EF3 TORNADO WITH MAXIMUM WIND SPEEDS OF 165 MPH. (LZK)
1923,UNK,NORTH LITTLE ROCK,PULASKI,AR,34.79,-92.26,HOMES AT OAK RIDGE WERE REPORTED AS DESTROYED. (LZK)
1937,UNK,5.5 NW MANITO,MASON,IL,40.43,-89.78,CORRECTS PREVIOUS TORNADO REPORT FROM MANITO. LOCATION UPDATED TO BE 5.5 MILES NW OF MANITO. NO EF RATING IS AVAILABLE AT THIS TIME. BRIEF TORNADO TOUCHDOWN NEAR THE IN (ILX)
1937,UNK,4 SE BANNER,TAZEWELL,IL,40.47,-89.87,BRIEF TOUCHDOWN NEAR THE INTERSECTION OF SPRING LAKE RD. AND STATE PARK RD. NO DAMAGE WAS REPORTED... SO NO INTENSITY RATING CAN BE ASSIGNED. (ILX)
1948,UNK,CABOT,LONOKE,AR,34.97,-92.02,DEBRIS REPORTED OFF DAKOTA STREET. (LZK)
2000,UNK,CABOT,LONOKE,AR,34.97,-92.02,DAMAGE TO HOMES AND BUISNESSES OFF HIGHWAY 89 IN CABOT. (LZK)
2002,UNK,SHERWOOD,PULASKI,AR,34.83,-92.21,POLICE STATION DAMAGED AND KEIHL STREET IS BLOCKED. (LZK)
2006,UNK,LITTLE ROCK,PULASKI,AR,34.74,-92.31,HOUSE DESTROYED IN CAMMACK VILLAGE. (LZK)
2015,UNK,1 NW DEER CREEK,TAZEWELL,IL,40.63,-89.33,CORRECTS PREVIOUS TSTM WND DMG REPORT FROM DEER CREEK. HEAVY DAMAGE TO BARNS. (ILX)
2023,UNK,3 E EUREKA,WOODFORD,IL,40.72,-89.22,SHORT TORNADO TOUCHDOWN... PER STORM CHASER VIDEO... CAUSING NO DAMAGE. (ILX)
2040,UNK,7 N AGENCY,WAPELLO,IA,41.09,-92.32,(DMX)
2045,UNK,8 SE FREMONT,WAPELLO,IA,41.14,-92.32,(DMX)
2048,UNK,1 SE MARTINSBURG,KEOKUK,IA,41.16,-92.23,UPDATES PREVIOUS TORNADO REPORT FROM 1 SE MARTINSBURG. THIS WAS DETERMINED TO BE A SEPARATE TORNADO FROM THE ONE THAT DEVELOPED SOUTHWEST OF KEOTA WHICH BECAME AN EF4. (DVN)
2057,UNK,2 SSE LANCASTER,KEOKUK,IA,41.26,-92.15,LARGE TORNADO ON THE GROUND. (DVN)
2058,UNK,2 SSW MALCOM,POWESHIEK,IA,41.67,-92.57,(DMX)
2105,UNK,5 ESE CORNELL,LIVINGSTON,IL,40.96,-88.65,[DELAYED REPORT] STORM CHASER VIDEO SHOWS A TORNADO TOUCHING DOWN AND KICKING UP DIRT IN A FIELD BEFORE LIFTING. THE TORNADO... WHICH WILL BE ASSIGNED AN EF-U RATING... (LOT)
2105,UNK,3 ESE MALCOM,POWESHIEK,IA,41.69,-92.5,PUBLIC REPORT OF TORNADO ON GROUND AND DEBRIS ALONG I-80 AT MILE MARKER 194. (DMX)
2110,UNK,4 W TALLEYRAND,KEOKUK,IA,41.3,-92.04,UPDATES PREVIOUS TORNADO REPORT FROM 4 W TALLEYRAND. THIS WAS THE TORNADO THAT DEVELOPED IN EASTERN KEOKUK COUNTY SOUTHWEST OF KEOTA THAT WENT THROUGH NORTHWESTERN WASH (DVN)
2121,UNK,WELLMAN,WASHINGTON,IA,41.47,-91.84,MICHAEL HARTLEY HEADING TOWARDS KALONA SPOTTER REPORT. (DVN)
2132,UNK,AMISH,JOHNSON,IA,41.53,-91.79,SATELLITE AND RADAR DATA SUGGEST THAT A DIFFERENT TORNADO FORMED. DAT POINTS FROM AREA SUGGEST EF0 WITH 85 MPH WINDS ALONG ITS 6 MILE PATH. WIDTH IS UNKNOWN. THE STORM (DVN)
2133,UNK,2 NE WELLMAN,WASHINGTON,IA,41.49,-91.8,CONFIRMED TORNADO ON THE GROUND BEING FOLLOWED BY SPOTTERS. (DVN)
2136,UNK,2 NW VINTON,BENTON,IA,42.19,-92.07,EF2 TORNADO WITH ESTIMATED PEAK WINDS OF 115 MPH. THE TORNADO DEVELOPED NORTHWEST OF VINTON... IOWA AND MOVED NORTHEAST... PRODUCING DAMAGE TO FARM BUILDINGS... TREES.. (DVN)
2138,UNK,7 WSW WYNNE,CROSS,AR,35.2,-90.9,UNCONFIRMED REPORT OF TORNADO AR 284-193 W OF WYNNE BY TRAINED SPOTTER. (MEG)
2142,UNK,1 NNE AMISH,JOHNSON,IA,41.55,-91.77,*** 2 INJ *** A TORNADO MOVED NORTHEAST DESTROYING TREES... A FEW OUTBUILDINGS... AND A GRAIN BIN IN RURAL JOHNSON COUNTY. THEN THE TORNADO CROSSED HWY 218 HEAVILY DAMA (DVN)
2143,UNK,1 WSW WYNNE,CROSS,AR,35.23,-90.8,UNCONFIRMED TORNADO ON GROUND 2 MI WEST OF WYNNE. (MEG)
2151,UNK,1 E CHENEY,BENTON,IA,42.25,-91.92,CORRECTS PREVIOUS TORNADO REPORT FROM 1 E CHENEY TO CHANGE FROM A PUBLIC REPORT TO AN NWS STORM SURVEY. SATELLITE DERIVED PATH OF A TORNADO HERE. NO DAMAGE SEEN BUT PAT (DVN)
2153,UNK,3 SSW HILLS,JOHNSON,IA,41.54,-91.56,A TORNADO BEGAN SOUTHWEST OF HILLS MOVING NORTHEAST CROSSING HWY 218 THROUGH THE NORTHWEST PORTIONS OF TOWN... DESTROYING SEVERAL OUTBUILDINGS... LARGE TREES... AND TRI (DVN)
2200,UNK,3 W PARKIN,CROSS,AR,35.27,-90.6,REPORT FROM MPING: HOMES/BUILDINGS COMPLETELY DESTROYED. (MEG)
2204,UNK,2 SE ROWLEY,BUCHANAN,IA,42.35,-91.82,SATELLITE DERIVED TRACK. NO DAMAGE NOTED... TIME BASED ON RADAR. THE TORNADO WAS ON THE GROUND FOR 1.66 MILES. (DVN)
2205,UNK,2 N EARLE,CRITTENDEN,AR,35.3,-90.47,REPORT FROM MPING: TREES UPROOTED OR SNAPPED; ROOF BLOWN OFF. (MEG)
2206,UNK,2 NNW DOWNEY,CEDAR,IA,41.64,-91.36,CORRECTS PREVIOUS TORNADO REPORT FROM 2 NNW DOWNEY TO CHANGE FROM A PUBLIC REPORT TO AN NWS STORM SURVEY. MAINLY A SATELLITE DERIVED TRACK. AT THE END OF ITS PATH... SO (DVN)
2206,UNK,1 WNW SOLON,JOHNSON,IA,41.81,-91.51,ESTIMATED PEAK WIND OF 130 MPH... WITH PATH LENGTH OF 8.0 MILES AND WIDTH AROUND 75 YARDS. (DVN)
2210,UNK,WYNNE,CROSS,AR,35.23,-90.79,REPORTS OF DAMAGE JUST EAST OF COUNTRY ROAD NEAR WYNNE. (MEG)
2212,UNK,6.5 WNW WINCHESTER,SCOTT,IL,39.6,-90.56,SPOTTER RECORDED VIDEO OF A TORNADO MOVING THROUGH THE ILLINOIS RIVER BOTTOMS. NO DAMAGE REPORTED. (ILX)
2214,UNK,1 NNW TIPTON,CEDAR,IA,41.79,-91.14,ESTIMATED PEAK 120 MPH WINDS... WITH A PATH LENGTH OF 22.7 MILES AND WIDTH OF 250 YARDS. (DVN)
2218,UNK,3 SSE ROCHESTER,CEDAR,IA,41.62,-91.14,*** 2 INJ *** EF2 TORNADO... 19.6 MILE PATH LENGTH AND 200 YARD WIDTH. (DVN)
2220,UNK,1 SW MANCHESTER,DELAWARE,IA,42.48,-91.47,ESTIMATED PEAK 110 MPH WINDS... WITH A PATH LENGTH OF 4.1 MILES AND WIDTH OF 50 YARDS. (DVN)
2227,UNK,CHAPIN,MORGAN,IL,39.77,-90.4,SPOTTER SAW TORNADO ON THE GROUND. (ILX)
2230,UNK,ONEIDA,DELAWARE,IA,42.54,-91.35,ESTIMATED PEAK 110 MPH WINDS... WITH A PATH LENGTH OF 2.4 MILES AND WIDTH OF 50 YARDS. (DVN)
2235,UNK,5 N JACKSONVILLE AIRPOR,MORGAN,IL,39.81,-90.23,SPOTTER POSSIBLY DROVE THROUGH TORNADO. SAID THERE WAS STRONG WINDS AND POSSIBLE DEBRIS AS IT PASSED. (ILX)
2241,UNK,1 SW MEDIAPOLIS,DES MOINES,IA,41,-91.17,A BRIEF TORNADO TRACKED EAST ACROSS THE SOUTHERN PORTIONS OF THE TOWN OF MEDIAPOLIS DESTROYING SIDING AND SHINGLES ON A FEW HOMES AND BUSINESSES. SEVERAL LARGE TREE LIM (DVN)
2241,UNK,1 SSW WYOMING,JONES,IA,42.05,-91.01,AN EF-1 TORNADO WITH PEAK WINDS ESTIMATED AT 104 MPH TOUCHED DOWN SOUTH OF WYOMING AND MOVED THROUGH THE EAST SIDE OF TOWN DAMAGING MAINLY TREES WITH AT LEAST TWO TREES (DVN)
