Time,Speed,Location,County,State,Lat,Lon,Comments
1843,UNK,ANTIOCH,CLARK,MO,40.31,-91.69,TREE DOWN OVER HIGHWAY 81. PUBLIC REPORT RELAYED BY LAW ENFORCEMENT. (DVN)
1859,UNK,2 W MURRAY,CLARKE,IA,41.04,-93.98,DELAYED REPORT. ONE-INCH TREE LIMBS BROKEN. SHINGLES BLOWN OFF. (DMX)
1946,UNK,1 E MILL GROVE,MERCER,MO,40.31,-93.57,METAL LEAN-TO KNOCKED OVER. (EAX)
1951,UNK,TRENTON,GRUNDY,MO,40.08,-93.63,TREE AND POWER-LINES DOWN. (EAX)
1952,UNK,1 SSW WEST PEORIA,PEORIA,IL,40.68,-89.65,DELAYED REPORT. GAS STATION CANOPY COLLAPSED ON HARMON HWY. (ILX)
2015,UNK,DEER CREEK,TAZEWELL,IL,40.63,-89.33,HEAVY DAMAGE TO BARNS. (ILX)
2031,UNK,2 ENE CHERRY CREEK RESE,ARAPAHOE,CO,39.64,-104.83,REPORT FROM MPING: 1-INCH TREE LIMBS BROKEN. (BOU)
2039,60,2 SSW OTTUMWA,WAPELLO,IA,41,-92.43,(DMX)
2045,UNK,3 NNW COLUMBINE,DENVER,CO,39.63,-105.1,REPORT FROM MPING: 1-INCH TREE LIMBS BROKEN. (BOU)
2057,UNK,8 W LIVONIA,PUTNAM,MO,40.48,-92.85,TREE DOWN. REPORT VIA 911 CENTER. (EAX)
2107,UNK,2 SSE TYLER,SMITH,TX,32.3,-95.29,TREE DAMAGE AND TREE LIMBS DOWN IN THE COPELAND ROAD AND PALUXY DRIVE AREAS IN SOUTH TYLER. (SHV)
2110,UNK,3 ENE RUSSELL,LUCAS,IA,41,-93.14,DELAYED REPORT. WIND DAMAGE TO OUTBUILDING. (DMX)
2117,UNK,SAINT JOHN,STAFFORD,KS,38,-98.76,REPORT FROM MPING: 1-INCH TREE LIMBS BROKEN; SHINGLES BLOWN OFF. (DDC)
2125,UNK,3 S WHITEHOUSE,SMITH,TX,32.18,-95.21,TREE LIMBS DOWN NEAR GROVE CLUB LAKE JUST SOUTH OF WHITEHOUSE TEXAS. (SHV)
2125,70,BUSSEY,MARION,IA,41.21,-92.89,ESTIMATED 60-70 MPH WIND GUSTS. PEA-SIZED HAIL. LOST POWER/INTERNET. (DMX)
2125,UNK,KNOXVILLE,MARION,IA,41.32,-93.1,LARGE TREE BRANCH DOWN ON HOME. (DMX)
2130,60,GARRISON,BENTON,IA,42.15,-92.14,(DVN)
