Time,F_Scale,Location,County,State,Lat,Lon,Comments
1503,UNK,DUNDEE,Monroe,MI,41.96,-83.66,A BRIEF EF-0 TORNADO TOUCHED DOWN IN DUNDEE... CONFIRMED VIA NWS STORM SURVEY. WINDS ESTIMATED TO 80 MPH... WITH PATH WIDTH OF 75 YARDS AND PATH LENGTH OF 7.3 MILES. TO (DTX)
2159,UNK,2 WNW BRIDGEVILLE,SUSSEX,DE,38.76,-75.64,*** 1 FATAL *** CORRECTS PREVIOUS TORNADO REPORT FROM 2 WNW BRIDGEVILLE. THE BRIDGEVILLE-ELLENDALE TORNADO BEGAN AROUND 5:59 PM EDT NEAR THE INTERSECTION OF POLK ROAD A (PHI)
2201,UNK,2 WNW BRIDGEVILLE,SUSSEX,DE,38.76,-75.63,REPORTS OF TREES AND WIRES DOWNED NEAR SEASHORE HIGHWAY ROUTE 404 AND DUBLIN HILL ROAD. LIKELY TORNADO. TIME ESTIMATED VIA RADAR. (PHI)
2206,UNK,4 SE GREENWOOD,SUSSEX,DE,38.77,-75.54,SUSSEX EM REPORTS A CONFINED SPACE RESCUE IN THE VICINITY OF TUCKER ROAD. LIKELY TORNADO. TIME ESTIMATED VIA RADAR. (PHI)
2235,UNK,CALVERT,CECIL,MD,39.7,-75.99,AN EF-1 TORNADO WITH ESTIMATED 90 MPH WINDS CAUSED DAMAGE TO TREES... POWER POLES... AND A FEW STRUCTURES ALONG A 4.4 MILE PATH... WITH A WIDTH OF 125 YARDS. (LWX)
2246,UNK,1 S WRIGHTSTOWN TWP,BUCKS,PA,40.25,-74.99,SEVERAL TREES WERE UPROOTED AND SNAPPED ON THE SOUTH SIDE OF WRIGHTSTOWN TOWNSHIP. AS THE TORNADO PROGRESSED SOUTHEAST NEAR SWAMP ROAD ADDITIONAL TREE DAMAGE OCCURRED I (PHI)
2259,UNK,1 ESE RIVERTON,BURLINGTON,NJ,40.01,-75,SURVEY SUMMARY: A TORNADO FORMED ALONG A LINE OF THUNDERSTORMS AND MADE INITIAL TOUCHDOWN IN CINNAMINSON... NJ... NEAR THE INTERSECTION OF RIVERTON ROAD AND WOODSIDE LA (PHI)
2308,UNK,2 SSE YARDVILLE,BURLINGTON,NJ,40.15,-74.65,AFTER A STRAIGHT LINE WIND EVENT UPSTREAM TOWARD BORDENTOWN ALONG WARD AVENUE... A QLCS TORNADO DEVELOPED IN THE VILLAGE OF CROSSWICKS AROUND 7:08 PM EDT. MUCH OF THE D (PHI)
2314,UNK,2 NNE NORTH HANOVER TWP,MONMOUTH,NJ,40.15,-74.57,A NEW QLCS TORNADO DEVELOPED JUST WEST OF A NEIGHBORHOOD ON WALNFORD ROAD SOUTHEAST OF ALLENTOWN. THE MOST SIGNIFICANT DAMAGE FROM THE TORNADO OCCURRED TO PROPERTIES WI (PHI)
2324,UNK,3 SE CLARKSBURG,OCEAN,NJ,40.16,-74.39,A TORNADO FORMED FROM ALONG AN EASTWARD MOVING ROTATING SUPERCELL WITHIN A LINE OF THUNDERSTORMS AND MADE INITIAL TOUCHDOWN NEAR PATTERSON ROAD... OFF OF WEST COMMODORE (PHI)
2333,UNK,2 NNE JACKSON,OCEAN,NJ,40.15,-74.26,A TORNADO FORMED FROM ALONG AN EASTWARD MOVING ROTATING SUPERCELL WITHIN A LINE OF THUNDERSTORMS AND MADE INITIAL TOUCHDOWN NEAR PATTERSON ROAD... OFF OF WEST COMMODORE (PHI)
2342,UNK,2 SSE RICHLAND,ATLANTIC,NJ,39.47,-74.86,A TORNADO FORMED ALONG A LINE OF THUNDERSTORMS AND MADE AN INITIAL TOUCHDOWN JUST EAST OF LLEWELLYN AVENUE AND SOUTH OF US HWY 40 IN THE RICHLAND SECTION OF BUENA VISTA (PHI)
2342,UNK,MANASQUAN,MONMOUTH,NJ,40.12,-74.04,A TORNADO FORMED FROM AN EAST SOUTHEAST MOVING ROTATING SUPERCELL WITHIN A LINE OF THUNDERSTORMS AND MADE A BRIEF TOUCHDOWN ON THE NATIONAL GUARD TRAINING CENTER GROUND (PHI)
