Time,Speed,Location,County,State,Lat,Lon,Comments
1200,UNK,4 ENE BROOKWOOD,FORSYTH,GA,34.12,-84.12,TREE DOWN ALONG JAMES BURGESS RD. (FFC)
1314,UNK,2 S BEECHWOOD HILLS,OCONEE,GA,33.92,-83.41,TREES DOWN AT EXIT 4 ON THE ATHENS PERIMETER. (FFC)
1314,UNK,1 SE BEECHWOOD HILLS,CLARKE,GA,33.93,-83.4,TREE DOWN ON DOGWOOD DR. (FFC)
1315,UNK,1 SE BEECHWOOD HILLS,CLARKE,GA,33.93,-83.4,CORRECTS PREVIOUS TSTM WND DMG REPORT FROM 1 SE BEECHWOOD HILLS. NUMEROUS TREES FELL ALONG DOGWOOD DR WITH SOME OF THEM FALLING ON MULTIPLE HOMES. (FFC)
1316,UNK,2 S ATHENS,CLARKE,GA,33.93,-83.38,MULTIPLE TREES DOWN ON MILLEDGE AVE NEAR EAST CAMPUS RD. (FFC)
1316,UNK,2 ESE BEECHWOOD HILLS,CLARKE,GA,33.93,-83.39,TREE DOWN ON CAR ON PARKWAY DR. (FFC)
1320,UNK,2 S ATHENS,CLARKE,GA,33.93,-83.38,MULTIPLE TREES DOWN NEAR THE INTERSECTION OF PINECREST DR AND PINECREST CT. (FFC)
1327,UNK,SOCIAL CIRCLE,WALTON,GA,33.65,-83.71,DOWNED TREE AT EAST HIGHTOWER TRAIL AND JONES RD. (FFC)
1337,UNK,ROSE HILL,OCONEE,GA,33.78,-83.31,TREES DOWN AT GREESNBORO HWY AND WIRE BRIDGE RD. (FFC)
1437,UNK,3 SW BEECHWOOD HILLS,OCONEE,GA,33.91,-83.45,TREES DOWN AT EXIT 1 ON THE ATHENS PERIMETER. (FFC)
1442,UNK,2 S MOUNT CORY,HANCOCK,OH,40.9,-83.83,TREE DOWN ON COUNTY ROAD 33. TIME ESTIMATED VIA RADAR. (CLE)
1450,60,2 WNW TONTOGANY,WOOD,OH,41.43,-83.78,MESONET STATION AU885 1 WNW TONTOGANY. (CLE)
1453,59,4 N WHITEHOUSE,LUCAS,OH,41.58,-83.8,ASOS STATION KTOL TOLEDO. (CLE)
1504,UNK,PEMBERVILLE,WOOD,OH,41.41,-83.46,UTILITY POLE SNAPPED IN GENOA. (CLE)
1505,UNK,2 ESE TOLEDO,LUCAS,OH,41.66,-83.54,SEVERAL LARGE TREE LIMBS DOWN IN THE COUNTY... PRIMARILY IN THE TOLEDO AREA. TIME ESTIMATED VIA RADAR. (CLE)
1506,UNK,3 SW WALBRIDGE,WOOD,OH,41.56,-83.53,NUMEROUS UTILITY POLES DOWN ACROSS THE NORTHERN PART OF THE COUNTY... PRIMARILY FROM PERRYSBURG TO MILLBURY. TIME ESTIMATED VIA RADAR. (CLE)
1510,UNK,DUNDEE,MONROE,MI,41.96,-83.66,AMATEUR RADIO OPERATOR REPORTS NUMEROUS WIRES DOWN... PARTIAL APARTMENT BUILDING ROOF DESTROYED... AND DAMAGE TO GAZEBO IN DOWNTOWN DUNDEE. (DTX)
1512,61,2 SW FINDLAY,HANCOCK,OH,41.02,-83.67,ASOS STATION KFDY FINDLAY. (CLE)
1514,UNK,1 ENE TIFFIN,SENECA,OH,41.12,-83.17,SEVERAL REPORTS OF DOWNED LIMBS... TREES... AND UTILITY POLES ACROSS SENECA COUNTY. TIME ESTIMATED VIA RADAR. (CLE)
1516,66,3 ESE CLAY CENTER,OTTAWA,OH,41.56,-83.31,TRAINED SPOTTER MEASURED ON HOME WEATHER STATION IN MARTIN. (CLE)
1520,71,9 ENE OREGON,LEZ142,OH,41.7,-83.26,MESONET STATION TWCO1 8 ENE OREGON. (CLE)
1524,UNK,1 ENE BUCYRUS,CRAWFORD,OH,40.81,-82.95,ROOF OF LOCAL BUSINESS BLOWN OFF. TIME ESTIMATED VIA RADAR. (CLE)
1524,UNK,BUCYRUS,CRAWFORD,OH,40.81,-82.98,SCATTERED REPORTS OF TREES AND LARGE BRANCHES DOWN ACROSS CRAWFORD COUNTY. (CLE)
1526,UNK,CARDINGTON,MORROW,OH,40.5,-82.89,MULTIPLE REPORTS OF TREES AND POWERLINES DOWN IN CARDINGTON. TIME ESTIMATED VIA RADAR. (CLE)
1526,64,1 NNW ARCADIA,HANCOCK,OH,41.12,-83.52,MESONET STATION GW2591 ARCADIA. (CLE)
1530,UNK,MOUNT GILEAD,MORROW,OH,40.55,-82.85,MULTIPLE REPORTS OF TREES AND POWERLINES DOWN IN MOUNT GILEAD. TIME ESTIMATED VIA RADAR. (CLE)
1530,82,9 ENE OREGON,LEZ142,OH,41.7,-83.26,MESONET STATION TWCO1 8 ENE OREGON PEAK GUST OF 71 KNOTS (82 MPH). (CLE)
1530,UNK,CARLETON,MONROE,MI,42.06,-83.39,NUMEROUS TREES AND WIRES DOWN REPORTED ACROSS NORTHEAST PORTIONS OF MONROE COUNTY. TIME ESTIMATED BY RADAR. (DTX)
1533,58,4 NE MARION,MARION,OH,40.62,-83.07,ASOS STATION KMNN MARION. (CLE)
1537,UNK,MARENGO,MORROW,OH,40.4,-82.81,MULTIPLE REPORTS OF TREES AND POWERLINES DOWN IN MARENGO. TIME ESTIMATED VIA RADAR. (CLE)
1546,UNK,4 SSW HURON,ERIE,OH,41.35,-82.59,SEVERAL REPORTS OF FALLEN TREES... BRANCHES... AND UTILITY POLES ACROSS ERIE COUNTY... OH DUE TO THUNDERSTORM WIND GUSTS. TIME ESTIMATED VIA RADAR. (CLE)
1547,UNK,FREDERICKTOWN,KNOX,OH,40.48,-82.54,NUMEROUS REPORTS OF TREES AND POWERLINES DOWN IN FREDERICKTOWN. TIME ESTIMATED VIA RADAR. (CLE)
1548,UNK,1 NW MOUNT VERNON,KNOX,OH,40.4,-82.48,NUMEROUS REPORTS OF TREES AND POWERLINES DOWN IN MT. VERNON. TIME ESTIMATED VIA RADAR. (CLE)
1548,UNK,ONTARIO,RICHLAND,OH,40.76,-82.6,*DELAYED REPORT* TOP OF PINE TREE SNAPPED OFF BY WIND NEAR ONTARIO. (CLE)
1552,UNK,1 S ASHLAND,ASHLAND,OH,40.85,-82.32,NUMEROUS TREES AND UTILITY LINES DOWN SOUTH OF THE CITY. (CLE)
1554,UNK,PERRYSVILLE,ASHLAND,OH,40.66,-82.31,*DELAYED REPORT* PORTION OF A BARN ROOF TORN OFF. (CLE)
1555,UNK,7 N LAKE VESUVIUS,LAWRENCE,OH,38.72,-82.63,LARGE TREE DOWN IN THE ROADWAY... 16700 BLOCK OF STATE ROUTE 93. (RLX)
1557,UNK,NEWTON FALLS,TRUMBULL,OH,41.19,-80.97,NWS EMPLOYEE REPORTED A LARGE TREE DOWN ON PROPERTY WITH NUMEROUS TREE DOWN AROUND THE AREA. (CLE)
1558,UNK,WAKEMAN,HURON,OH,41.26,-82.4,TREES AND POWERLINES DOWN AROUND THE AREA OF LINCOLN AND GREEN ROADS. (CLE)
1559,62,4 N MANSFIELD,RICHLAND,OH,40.82,-82.52,ASOS STATION KMFD MANSFIELD. (CLE)
1600,UNK,7 W CROWN CITY,LAWRENCE,OH,38.61,-82.41,TREE DOWN ACROSS COUNTY ROAD 2 NORTH OF WILLOW WOOD. (RLX)
1600,UNK,LOUDONVILLE,ASHLAND,OH,40.64,-82.23,UTILITY POLE SNAPPED ON WEST MAIN STREET. TIME ESTIMATED VIA RADAR. (CLE)
1600,UNK,1 NNE VERMILION,LORAIN,OH,41.43,-82.3,SHINGLES AND A SMALL PORTION OF A ROOF RIPPED OFF OF A RESIDENCE. TIME ESTIMATED VIA RADAR. (CLE)
1601,UNK,ASHLAND,ASHLAND,OH,40.87,-82.32,LARGE TREE LIMBS DOWN AND A ROOF BLOWN OFF AN OUTBUILDING. (CLE)
1607,UNK,4 NNW NASHVILLE,HOLMES,OH,40.66,-82.13,LARGE TREE DOWN NEAR STATE ROUTE 226 AND STATE ROUTE 179. TIME ESTIMATED VIA RADAR. (CLE)
1607,UNK,2 NNE LORAIN,LORAIN,OH,41.46,-82.18,LARGE TREE UPROOTED AND DOWN ON HOUSE. TIME ESTIMATED VIA RADAR. (CLE)
1608,UNK,GLENMONT,HOLMES,OH,40.52,-82.1,SEVERAL REPORTS OF TREES AND POWERLINES DOWN IN GLENMONT. TIME ESTIMATED VIA RADAR. (CLE)
1610,61,3 E SOUTH AMHERST,LORAIN,OH,41.35,-82.18,ASOS STATION KLPR LORAIN ELYRIA. (CLE)
1613,UNK,WOOSTER,WAYNE,OH,40.81,-81.94,*DELAYED REPORT* PINE TREE SNAPPED OFF... PARTIALLY LANDING ON A DETACHED GARAGE CAUSING MINOR DAMAGE. (CLE)
1613,UNK,3 SSE ELYRIA,LORAIN,OH,41.34,-82.08,TREE DOWN ON S. ABBE ROAD NEAR CHESTNUT RIDGE ROAD. TIME ESTIMATED VIA RADAR. (CLE)
1614,UNK,5 W APPLE CREEK,WAYNE,OH,40.74,-81.93,*DELAYED REPORT* ONE POWER POLE SNAPPED AND FELL ONTO OH 83 WITH SEVERAL OTHERS PARTIALLY SNAPPED AND LEANING OVER THE ROAD. (CLE)
1615,UNK,MILLERSBURG,HOLMES,OH,40.56,-81.92,SEVERAL REPORTS OF TREES AND POWERLINES DOWN IN MILLERSBURG. TIME ESTIMATED VIA RADAR. (CLE)
1616,UNK,1 NNE AVON,LORAIN,OH,41.47,-82.02,TREE DOWN ON POWERLINES. (CLE)
1617,UNK,LAKEWOOD,CUYAHOGA,OH,41.48,-81.78,*DELAYED REPORT* LARGE TREE SNAPPED AT NIAGARA PARK IN LAKEWOOD. (CLE)
1618,UNK,4 N APPLE CREEK,WAYNE,OH,40.8,-81.84,TREES DOWN ON APPLE CREEK ROAD. (CLE)
1620,UNK,COSHOCTON,COSHOCTON,OH,40.26,-81.85,TREES AND POWER LINES DOWN IN AND AROUND TOWN OF COSHOCTON. (PBZ)
1620,UNK,2 SSE RITTMAN,WAYNE,OH,40.94,-81.76,TREES AND UTILITY POLES DOWN ALL ACROSS WAYNE COUNTY. COUNTY DISPATCH SAID THAT DOYLESTOWN... CHIPPEWA... AND AREAS NORTH OF WOOSTER WERE HIT HARDEST. TIME ESTIMATED VI (CLE)
1620,UNK,MEDINA,MEDINA,OH,41.14,-81.86,*DELAYED REPORT* LARGE PINE TREE WAS UPROOTED AND LANDED ON A HOUSE. (CLE)
1622,UNK,5 SE FREDERICKSBURG,HOLMES,OH,40.63,-81.78,ROOF PARTIALLY BLOWN OFF RESIDENCE NEAR STATE ROUTE 241 AND COUNTY ROAD 77. TIME ESTIMATED VIA RADAR. (CLE)
1622,UNK,5 SE BRUNSWICK,MEDINA,OH,41.19,-81.74,POLES AND WIRES DOWN NEAR I271 AND RIDGE ROAD. (CLE)
1625,59,1 WNW SMITHVILLE,WAYNE,OH,40.87,-81.88,ASOS STATION KBJJ WOOSTER. (CLE)
1625,UNK,5 SSE BRUNSWICK,MEDINA,OH,41.18,-81.79,LARGE TREE DOWN ACROSS NICHOLS ROAD SOUTH OF WEYMOUTH. (CLE)
1625,UNK,RICHFIELD,SUMMIT,OH,41.23,-81.64,3 LARGE TREES DOWN NEAR ROUTE 303 AND ROUTE 176. (CLE)
1628,UNK,2 SSW MONTROSE-GHENT,SUMMIT,OH,41.14,-81.66,TREE AND UTILITY POLE REPORTED DOWN NEAR INTERSTATE 71 AND SR 18. (CLE)
1628,UNK,KENT,PORTAGE,OH,41.15,-81.36,NUMEROUS TREES REPORTED DOWN ACROSS THE CITY. (CLE)
1629,UNK,3 NW RICHFIELD,SUMMIT,OH,41.26,-81.68,TREE DOWN ACROSS ROAD AT HINCKLEY RESERVATION ENTRANCE. TIME ESTIMATED VIA RADAR. (CLE)
